team_name,team_code,player_name,shirt_number,position,club,fifa_player_id
Algeria,ALG,Melvin Mastil,1,GK,,520070
Algeria,ALG,Aissa Mandi,2,DF,,376285
Algeria,ALG,Achraf Abada,3,DF,,512127
Algeria,ALG,Mohamed Amine Tougai,4,DF,,433600
Algeria,ALG,Zineddine Belaid,5,DF,,480983
Algeria,ALG,Ramiz Zerrouki,6,MF,,433679
Algeria,ALG,Riyad Mahrez,7,FW,,379942
Algeria,ALG,Houssem Aouar,8,MF,,430698
Algeria,ALG,Amine Gouiri,9,FW,,405877
Algeria,ALG,Fares Chaibi,10,MF,,477795
Algeria,ALG,Anis Hadj Moussa,11,FW,,482874
Algeria,ALG,Nadhir Benbouali,12,FW,,520071
Algeria,ALG,Jaouen Hadjam,13,DF,,482869
Algeria,ALG,Hicham Boudaoui,14,MF,,441350
Algeria,ALG,Rayan Ait-Nouri,15,DF,,431858
Algeria,ALG,Oussama Benbot,16,GK,,477817
Algeria,ALG,Rafik Belghali,17,DF,,511009
Algeria,ALG,Mohamed Amoura,18,FW,,477790
Algeria,ALG,Nabil Bentaleb,19,MF,,379939
Algeria,ALG,Adil Boulbina,20,FW,,512132
Algeria,ALG,Ramy Bensebaini,21,DF,,395113
Algeria,ALG,Ibrahim Maza,22,MF,,494291
Algeria,ALG,Luca Zidane,23,GK,,389879
Algeria,ALG,Yassine Titraoui,24,MF,,433631
Algeria,ALG,Fares Ghedjemis,25,FW,,520072
Algeria,ALG,Samir Chergui,26,DF,,511010
Argentina,ARG,Juan Musso,1,GK,,430624
Argentina,ARG,Leonardo Balerdi,2,DF,,416723
Argentina,ARG,Nicolas Tagliafico,3,DF,,308322
Argentina,ARG,Gonzalo Montiel,4,DF,,402926
Argentina,ARG,Leandro Paredes,5,MF,,332847
Argentina,ARG,Lisandro Martinez,6,DF,,402921
Argentina,ARG,Rodrigo De Paul,7,MF,,428882
Argentina,ARG,Valentin Barco,8,MF,,463661
Argentina,ARG,Julian Alvarez,9,FW,,416081
Argentina,ARG,Lionel Messi,10,FW,,229397
Argentina,ARG,Giovani Lo Celso,11,MF,,395414
Argentina,ARG,Geronimo Rulli,12,GK,,394824
Argentina,ARG,Cristian Romero,13,DF,,431196
Argentina,ARG,Exequiel Palacios,14,MF,,389485
Argentina,ARG,Nico Gonzalez,15,MF,,430631
Argentina,ARG,Thiago Almada,16,FW,,418975
Argentina,ARG,Giuliano Simeone,17,FW,,485595
Argentina,ARG,Nico Paz,18,FW,,441422
Argentina,ARG,Nicolas Otamendi,19,DF,,310116
Argentina,ARG,Alexis Mac Allister,20,MF,,430628
Argentina,ARG,Jose Manuel Lopez,21,FW,,495054
Argentina,ARG,Lautaro Martinez,22,FW,,402920
Argentina,ARG,Emiliano Martinez,23,GK,,308300
Argentina,ARG,Enzo Fernandez,24,MF,,448252
Argentina,ARG,Facundo Medina,25,DF,,418963
Argentina,ARG,Nahuel Molina,26,DF,,402925
Australia,AUS,Mathew Ryan,1,GK,,339117
Australia,AUS,Milos Degenek,2,DF,,331149
Australia,AUS,Alessandro Circati,3,DF,,448014
Australia,AUS,Jacob Italiano,4,DF,,430450
Australia,AUS,Jordan Bos,5,DF,,423522
Australia,AUS,Jason Geria,6,DF,,339112
Australia,AUS,Mathew Leckie,7,FW,,321697
Australia,AUS,Connor Metcalfe,8,MF,,430452
Australia,AUS,Mohamed Toure,9,FW,,498806
Australia,AUS,Ajdin Hrustic,10,FW,,404319
Australia,AUS,Awer Mabil,11,FW,,406606
Australia,AUS,Paul Izzo,12,GK,,331135
Australia,AUS,Aiden Oneill,13,MF,,430440
Australia,AUS,Cameron Devlin,14,MF,,430437
Australia,AUS,Kai Trewin,15,DF,,494411
Australia,AUS,Aziz Behich,16,DF,,349342
Australia,AUS,Nestory Irankunda,17,FW,,486306
Australia,AUS,Patrick Beach,18,GK,,494557
Australia,AUS,Harry Souttar,19,DF,,430442
Australia,AUS,Cristian Volpato,20,FW,,448015
Australia,AUS,Cameron Burgess,21,DF,,382312
Australia,AUS,Jackson Irvine,22,MF,,355775
Australia,AUS,Nishan Velupillay,23,FW,,491166
Australia,AUS,Paul Okon-Engstler,24,MF,,498421
Australia,AUS,Lucas Herrington,25,DF,,504931
Australia,AUS,Tete Yengi,26,FW,,518200
Austria,AUT,Alexander Schlager,1,GK,,371739
Austria,AUT,David Affengruber,2,DF,,520035
Austria,AUT,Kevin Danso,3,DF,,405263
Austria,AUT,Xaver Schlager,4,MF,,385531
Austria,AUT,Stefan Posch,5,DF,,441067
Austria,AUT,Nicolas Seiwald,6,MF,,441088
Austria,AUT,Marko Arnautovic,7,FW,,299200
Austria,AUT,David Alaba,8,DF,,316002
Austria,AUT,Marcel Sabitzer,9,MF,,358241
Austria,AUT,Florian Grillitsch,10,MF,,385248
Austria,AUT,Michael Gregoritsch,11,FW,,401131
Austria,AUT,Florian Wiegele,12,GK,,520034
Austria,AUT,Patrick Pentz,13,GK,,441065
Austria,AUT,Sasa Kalajdzic,14,FW,,430100
Austria,AUT,Philipp Lienhart,15,DF,,372243
Austria,AUT,Phillip Mwene,16,DF,,463288
Austria,AUT,Carney Chukwuemeka,17,MF,,463800
Austria,AUT,Romano Schmid,18,MF,,463283
Austria,AUT,Christoph Baumgartner,19,MF,,441069
Austria,AUT,Konrad Laimer,20,MF,,385259
Austria,AUT,Patrick Wimmer,21,FW,,463286
Austria,AUT,Alexander Prass,22,MF,,463282
Austria,AUT,Marco Friedl,23,DF,,463287
Austria,AUT,Paul Wanner,24,MF,,520036
Austria,AUT,Michael Svoboda,25,DF,,491269
Austria,AUT,Alessandro Schoepf,26,MF,,375600
Belgium,BEL,Thibaut Courtois,1,GK,,358106
Belgium,BEL,Zeno Debast,2,DF,,448369
Belgium,BEL,Arthur Theate,3,DF,,448346
Belgium,BEL,Brandon Mechele,4,DF,,448360
Belgium,BEL,Maxim De Cuyper,5,DF,,448373
Belgium,BEL,Axel Witsel,6,MF,,290821
Belgium,BEL,Kevin De Bruyne,7,MF,,358120
Belgium,BEL,Youri Tielemans,8,MF,,401444
Belgium,BEL,Romelu Lukaku,9,FW,,358112
Belgium,BEL,Leandro Trossard,10,FW,,448355
Belgium,BEL,Jeremy Doku,11,FW,,448341
Belgium,BEL,Senne Lammens,12,GK,,495348
Belgium,BEL,Mike Penders,13,GK,,499803
Belgium,BEL,Dodi Lukebakio,14,FW,,448377
Belgium,BEL,Thomas Meunier,15,DF,,358122
Belgium,BEL,Koni De Winter,16,DF,,448366
Belgium,BEL,Charles De Ketelaere,17,FW,,448362
Belgium,BEL,Joaquin Seys,18,DF,,506088
Belgium,BEL,Diego Moreira,19,MF,,497902
Belgium,BEL,Hans Vanaken,20,MF,,448343
Belgium,BEL,Timothy Castagne,21,DF,,411443
Belgium,BEL,Alexis Saelemaekers,22,MF,,433092
Belgium,BEL,Nicolas Raskin,23,MF,,495349
Belgium,BEL,Amadou Onana,24,MF,,448364
Belgium,BEL,Nathan Ngoy,25,DF,,514166
Belgium,BEL,Matias Fernandez-Pardo,26,FW,,494025
Bosnia & Herzegovina,BIH,Nikola Vasilj,1,GK,,482978
Bosnia & Herzegovina,BIH,Nihad Mujakic,2,DF,,482969
Bosnia & Herzegovina,BIH,Dennis Hadzikadunic,3,DF,,430194
Bosnia & Herzegovina,BIH,Tarik Muharemovic,4,DF,,484022
Bosnia & Herzegovina,BIH,Sead Kolasinac,5,DF,,376230
Bosnia & Herzegovina,BIH,Benjamin Tahirovic,6,MF,,483966
Bosnia & Herzegovina,BIH,Amar Dedic,7,DF,,482976
Bosnia & Herzegovina,BIH,Armin Gigovic,8,MF,,489523
Bosnia & Herzegovina,BIH,Samed Bazdar,9,FW,,485063
Bosnia & Herzegovina,BIH,Ermedin Demirovic,10,FW,,436743
Bosnia & Herzegovina,BIH,Edin Dzeko,11,FW,,300409
Bosnia & Herzegovina,BIH,Mladen Jurkas,12,GK,,522842
Bosnia & Herzegovina,BIH,Ivan Basic,13,MF,,482974
Bosnia & Herzegovina,BIH,Ivan Sunjic,14,MF,,372436
Bosnia & Herzegovina,BIH,Amar Memic,15,MF,,494640
Bosnia & Herzegovina,BIH,Amir Hadziahmetovic,16,MF,,430196
Bosnia & Herzegovina,BIH,Dzenis Burnic,17,MF,,389886
Bosnia & Herzegovina,BIH,Nikola Katic,18,DF,,489520
Bosnia & Herzegovina,BIH,Kerim Alajbegovic,19,FW,,504990
Bosnia & Herzegovina,BIH,Esmir Bajraktarevic,20,FW,,464566
Bosnia & Herzegovina,BIH,Stjepan Radeljic,21,DF,,489521
Bosnia & Herzegovina,BIH,Martin Zlomislic,22,GK,,491228
Bosnia & Herzegovina,BIH,Haris Tabakovic,23,FW,,482984
Bosnia & Herzegovina,BIH,Nidal Celik,24,DF,,492367
Bosnia & Herzegovina,BIH,Jovo Lukic,25,FW,,519954
Bosnia & Herzegovina,BIH,Ermin Mahmic,26,MF,,522846
Brazil,BRA,Alisson,1,GK,,308370
Brazil,BRA,Wesley,2,DF,,461089
Brazil,BRA,Gabriel Magalhaes,3,DF,,430601
Brazil,BRA,Marquinhos,4,DF,,332946
Brazil,BRA,Casemiro,5,MF,,308386
Brazil,BRA,Alex Sandro,6,DF,,335658
Brazil,BRA,Vinicius Junior,7,FW,,405742
Brazil,BRA,Bruno Guimaraes,8,MF,,430605
Brazil,BRA,Matheus Cunha,9,FW,,430609
Brazil,BRA,Neymar Jr,10,FW,,314197
Brazil,BRA,Raphinha,11,FW,,433872
Brazil,BRA,Weverton,12,GK,,396315
Brazil,BRA,Danilo,13,DF,,335656
Brazil,BRA,Bremer,14,DF,,431889
Brazil,BRA,Leo Pereira,15,DF,,371956
Brazil,BRA,Douglas Santos,16,DF,,367981
Brazil,BRA,Fabinho,17,MF,,394456
Brazil,BRA,Danilo Santos,18,MF,,429392
Brazil,BRA,Endrick,19,FW,,463746
Brazil,BRA,Lucas Paqueta,20,MF,,411726
Brazil,BRA,Luiz Henrique,21,FW,,448420
